,Name of movie,Year of release,Gross collection,Movie Rating,Director,Popularity
92,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Unknown,7.1,Unknown,161.964
93,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,Unknown,7.5,Unknown,148.701
94,Minions: The Rise of Gru,2022,Unknown,7.4,Unknown,172.334
95,F9,2021,Unknown,7.2,Unknown,158.955
96,Dungeons & Dragons: Wrath of the Dragon God,2005,Unknown,4.4,Unknown,130.161
97,Venus,2022,Unknown,5.7,Unknown,165.888
98,La Trampa,2022,Unknown,6.6,Unknown,133.631
99,Turning Red,2022,Unknown,7.5,Unknown,173.039
100,The Next 365 Days,2022,Unknown,6.5,Unknown,148.982
101,Fast & Furious Presents: Hobbs & Shaw,2019,Unknown,6.9,Unknown,140.089
102,Close,2022,Unknown,7.8,Unknown,144.109
103,Shrek,2001,Unknown,7.7,Unknown,159.22
104,My Name Is Vendetta,2022,Unknown,6.8,Unknown,133.776
105,Saint Seiya: Legend of Sanctuary,2014,Unknown,6.5,Unknown,143.093
106,After Ever Happy,2022,Unknown,6.9,Unknown,139.126
107,1Up,2022,Unknown,5.3,Unknown,126.781
108,Yuku et la fleur de l’Himalaya,2022,Unknown,2.0,Unknown,206.821
109,Shang-Chi and the Legend of the Ten Rings,2021,Unknown,7.6,Unknown,143.861
110,20th Century Girl,2022,Unknown,8.4,Unknown,143.004
111,Sing 2,2021,Unknown,8.0,Unknown,154.509
112,The Guardians of the Galaxy Holiday Special,2022,Unknown,7.3,Unknown,200.096
113,Beast,2022,Unknown,6.8,Unknown,136.43
114,Swapping: A Divorce Trip Between Two Couples,2020,Unknown,0.0,Unknown,134.524
115,Superfast!,2015,Unknown,5.0,Unknown,143.4
116,The Boss Baby: Christmas Bonus,2022,Unknown,6.8,Unknown,152.462
117,Zack Snyder's Justice League,2021,Unknown,8.2,Unknown,128.357
118,Harry Potter and the Philosopher's Stone,2001,Unknown,7.9,Unknown,135.46
119,Bad Luck Banging or Loony Porn,2021,Unknown,6.5,Unknown,132.567
120,Super Mario Bros.,1993,Unknown,4.3,Unknown,127.974
121,Jeepers Creepers: Reborn,2022,Unknown,5.7,Unknown,148.657
122,Bullet Train,2022,Unknown,7.5,Unknown,136.034
123,Disenchanted,2022,Unknown,6.9,Unknown,142.212
124,There Are No Saints,2022,Unknown,5.3,Unknown,109.672
125,Berserk: The Golden Age Arc I - The Egg of the King,2012,Unknown,7.4,Unknown,137.482
126,Blade of the 47 Ronin,2022,Unknown,6.8,Unknown,139.001
127,Venom: Let There Be Carnage,2021,Unknown,6.9,Unknown,148.776
128,Godzilla vs. Kong,2021,Unknown,7.7,Unknown,142.156
129,Hotel Transylvania: Transformania,2022,Unknown,7.0,Unknown,150.267
130,Delicious Room Salon Service 2,2019,Unknown,5.2,Unknown,112.858
131,John Wick,2014,Unknown,7.4,Unknown,136.846
132,Uncharted,2022,Unknown,7.0,Unknown,136.753
133,"Lyle, Lyle, Crocodile",2022,Unknown,7.4,Unknown,137.749
134,365 Days: This Day,2022,Unknown,5.8,Unknown,121.92
135,What's Love Got to Do with It?,2023,Unknown,6.5,Unknown,114.458
136,The Exorcism of God,2022,Unknown,7.2,Unknown,168.158
137,High School Teacher: Maturing,1985,Unknown,6.0,Unknown,117.371
138,The Last Heretic,2022,Unknown,5.6,Unknown,134.967
139,The Wolf of Wall Street,2013,Unknown,8.0,Unknown,123.768
140,Prancer: A Christmas Tale,2022,Unknown,6.4,Unknown,109.532
141,Savage Salvation,2022,Unknown,6.5,Unknown,116.697
142,Furious 7,2015,Unknown,7.2,Unknown,115.756
143,Fullmetal Alchemist: The Final Alchemy,2022,Unknown,6.3,Unknown,119.955
144,Fantastic Beasts: The Secrets of Dumbledore,2022,Unknown,6.8,Unknown,116.335
145,The Lost City,2022,Unknown,6.6,Unknown,120.276
146,The Offering,2022,Unknown,5.7,Unknown,135.275
147,The Evil Dead,1981,Unknown,7.3,Unknown,112.91
148,The Fate of the Furious,2017,Unknown,6.9,Unknown,125.532
149,"I, Robot",2004,Unknown,6.9,Unknown,113.755
150,Strange World,2022,Unknown,6.5,Unknown,126.637
151,On the Beach,1985,Unknown,5.0,Unknown,122.361
152,Goliath,2022,Unknown,6.9,Unknown,103.661
153,Mortal Kombat,2021,Unknown,7.1,Unknown,120.115
154,Breaking,2022,Unknown,6.7,Unknown,90.722
155,Star Wars,1977,Unknown,8.2,Unknown,102.352
156,Fifty Shades of Grey,2015,Unknown,5.9,Unknown,128.043
157,Athena,2022,Unknown,6.6,Unknown,106.682
158,Scream,1996,Unknown,7.4,Unknown,126.172
159,Project Wolf Hunting,2022,Unknown,6.5,Unknown,122.018
160,Orgasm Inc: The Story of OneTaste,2022,Unknown,6.4,Unknown,113.234
161,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Unknown,7.8,Unknown,87.104
162,Glass Onion: A Knives Out Mystery,2022,Unknown,7.1,Unknown,131.918
163,Hacksaw Ridge,2016,Unknown,8.2,Unknown,125.531
164,Friend's Young Mom,2019,Unknown,3.0,Unknown,163.974
165,The Surprise Visit,2022,Unknown,4.8,Unknown,119.213
166,Cop Secret,2022,Unknown,6.2,Unknown,123.368
167,Fifty Shades Freed,2018,Unknown,6.7,Unknown,116.523
168,Erotic Ghost Story,1990,Unknown,6.0,Unknown,102.065
169,Samaritan,2022,Unknown,6.8,Unknown,90.025
170,Harry Potter and the Chamber of Secrets,2002,Unknown,7.7,Unknown,101.22
171,Me Before You,2016,Unknown,7.9,Unknown,110.552
172,Shrek 2,2004,Unknown,7.2,Unknown,99.88
173,The School for Good and Evil,2022,Unknown,7.1,Unknown,114.993
174,"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",2014,Unknown,7.2,Unknown,107.738
175,Hitman: Agent 47,2015,Unknown,5.8,Unknown,90.934
176,Con los años que nos quedan,2022,Unknown,5.6,Unknown,114.541
177,Dragon Ball Super: Super Hero,2022,Unknown,7.9,Unknown,125.807
