Unnamed: 0.1,id,imdb_id,popularity,budget,revenue,original_title,cast,director,tagline,keywords,overview,runtime,genres,vote_count,Year of release,Movie Rating,Gross collection,Name of movie,Popularity
11,13.0,tt0109830,6.715966,55000000.0,677945399.0,Forrest Gump,Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson|Sally Field,Robert Zemeckis,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",vietnam veteran|hippie|mentally disabled|running|based on novel,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142.0,Comedy|Drama|Romance,4856.0,1994,8.8,$330.25M,,
12,,,4.237188379310346,44010464.62068965,282622788.5,"The Good, the Bad and the Ugly",0,0,0,0,0,140.8793103448276,0,2911.5,1966,8.8,$6.10M,,
13,121.0,tt0167261,8.095275,79000000.0,926287400.0,The Lord of the Rings: The Two Towers,Elijah Wood|Ian McKellen|Viggo Mortensen|Liv Tyler|Orlando Bloom,Peter Jackson,A New Power Is Rising.,elves|orcs|middle-earth (tolkien)|hobbits|based on novel,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",179.0,Adventure|Fantasy|Action,5114.0,2002,8.8,$342.55M,,
14,,,4.237188379310346,44010464.62068965,282622788.5,Jai Bhim,0,0,0,0,0,140.8793103448276,0,2911.5,2021,8.8,#237,,
15,,,4.237188379310346,44010464.62068965,282622788.5,777 Charlie,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.8,*****,,
16,,,4.237188379310346,44010464.62068965,282622788.5,Rocketry: The Nambi Effect,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.8,*****,,
17,603.0,tt0133093,7.753899,63000000.0,463517383.0,The Matrix,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster,Lilly Wachowski|Lana Wachowski,Welcome to the Real World.,saving the world|artificial intelligence|man vs machine|philosophy|prophecy,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",136.0,Action|Science Fiction,6351.0,1999,8.7,$171.48M,,
18,769.0,tt0099685,2.659926,25000000.0,46836394.0,Goodfellas,Robert De Niro|Ray Liotta|Joe Pesci|Lorraine Bracco|Paul Sorvino,Martin Scorsese,Three Decades of Life in the Mafia.,prison|helicopter|florida|1970s|mass murder,"Henry Hill is a small time gangster, who takes part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who have set their sights a bit higher. His two partners kill off everyone else involved in the robbery, and slowly start to climb up through the hierarchy of the Mob. Henry, however, is badly affected by his partners success, but will he stoop low enough to bring about the downfall of Jimmy and Tommy?",146.0,Drama|Crime,1798.0,1990,8.7,$46.84M,,
19,510.0,tt0073486,3.258151,3000000.0,108981275.0,One Flew Over the Cuckoo's Nest,Jack Nicholson|Louise Fletcher|Danny DeVito|William Redfield|Scatman Crothers,MiloÅ¡ Forman,"If he's crazy, what does that make you?",individual|rebel|self-destruction|wheelchair|lunatic asylum,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",133.0,Drama,1612.0,1975,8.7,$112.00M,,
20,,,4.237188379310346,44010464.62068965,282622788.5,Star Wars: Episode V - The Empire Strikes Back,0,0,0,0,0,140.8793103448276,0,2911.5,1980,8.7,$290.48M,,
21,,,4.237188379310346,44010464.62068965,282622788.5,Soorarai Pottru,0,0,0,0,0,140.8793103448276,0,2911.5,2020,8.7,*****,,
